code,area,year,domestic_consumers _sales_GWh,domestic_ consumers_number_of_consumers_(thousands),commercial_and_industrial_consumers_sales_GWh,commercial_and_industrial_consumers_number_of_consumers_(thousands),all_consumers_sales_GWh,all_consumers_number_of_consumers_(thousands),sales_per_consumer_domestic_kWh,sales_per_consumer_commercial_and_industrial_kWh
E09000002,Barking and Dagenham,2001,961,56,339,1,1300,57,17151,538825
E09000003,Barnet,2001,2825,118,930,4,3755,122,23964,227728
E09000004,Bexley,2001,1615,79,1198,1,2813,80,20463,1335027
E09000005,Brent,2001,1962,94,817,2,2779,96,20979,400457
E09000006,Bromley,2001,2711,120,673,2,3383,123,22501,297386
E09000007,Camden,2001,693,40,984,2,1677,42,17189,503755
E09000001,City of London,2001,869,50,1661,3,2530,53,17282,585754
E09000008,Croydon,2001,2767,131,791,2,3558,133,21181,340135
E09000009,Ealing,2001,2072,103,1241,2,3313,105,20159,521306
E09000010,Enfield,2001,2159,106,836,2,2996,108,20346,443924
E09000011,Greenwich,2001,1508,80,1060,1,2568,81,18835,812301
E09000012,Hackney,2001,1210,73,444,1,1654,74,16580,323759
E09000013,Hammersmith and Fulham,2001,1297,75,852,2,2149,77,17243,487872
E09000014,Haringey,2001,1799,92,541,2,2341,94,19518,263895
E09000015,Harrow,2001,1636,69,886,1,2522,70,23716,686116
E09000016,Havering,2001,1726,83,347,1,2073,84,20759,313813
E09000017,Hillingdon,2001,2136,101,1249,2,3386,103,21180,679688
E09000018,Hounslow,2001,1533,78,1040,2,2573,79,19774,665710
E09000019,Islington,2001,1337,81,1266,2,2603,84,16472,535019
E09000020,Kensington and Chelsea,2001,1074,61,3498,3,4572,64,17474,1220825
E09000021,Kingston upon Thames,2001,1100,51,292,1,1392,53,21373,267451
E09000022,Lambeth,2001,2171,121,1192,2,3363,124,17902,491503
E09000023,Lewisham,2001,1667,97,934,2,2601,99,17212,516525
E09000024,Merton,2001,1459,75,654,1,2113,76,19584,445396
E09000025,Newham,2001,1821,102,1286,2,3108,104,17831,796374
E09000026,Redbridge,2001,2037,95,415,2,2451,97,21363,272564
E09000027,Richmond upon Thames,2001,1853,88,768,2,2621,90,21084,330657
E09000028,Southwark,2001,1634,99,1160,2,2794,101,16462,669077
E09000029,Sutton,2001,1520,72,523,1,2043,74,21034,392986
E09000030,Tower Hamlets,2001,1248,85,1177,2,2425,86,14769,652882
E09000031,Waltham Forest,2001,1692,90,502,1,2194,92,18737,375752
E09000032,Wandsworth,2001,1908,101,969,2,2877,104,18823,445259
E09000033,Westminster,2001,1275,83,3311,6,4586,89,15422,545075
E09000002,Barking and Dagenham,2002,989,57,311,1,1300,57,17438,463817
E09000003,Barnet,2002,2830,117,1036,4,3866,121,24184,250113
E09000004,Bexley,2002,1661,81,1258,1,2919,81,20625,1398598
E09000005,Brent,2002,1887,89,810,2,2697,91,21205,429107
E09000006,Bromley,2002,2687,119,722,2,3409,121,22656,322532
E09000007,Camden,2002,700,41,1054,2,1755,43,17157,534782
E09000001,City of London,2002,840,49,1767,3,2607,51,17258,630525
E09000008,Croydon,2002,2755,129,968,2,3723,131,21418,418550
E09000009,Ealing,2002,2079,102,1072,2,3150,105,20305,462453
E09000010,Enfield,2002,2202,106,886,2,3088,108,20835,474537
E09000011,Greenwich,2002,1523,80,1102,1,2625,81,19135,847041
E09000012,Hackney,2002,1236,73,475,1,1711,75,16835,351873
E09000013,Hammersmith and Fulham,2002,1314,75,922,2,2236,77,17518,515440
E09000014,Haringey,2002,1830,91,641,2,2471,93,20031,309847
E09000015,Harrow,2002,1650,69,949,1,2599,71,23794,743049
E09000016,Havering,2002,1768,84,387,1,2154,86,20955,328041
E09000017,Hillingdon,2002,2156,102,1368,2,3524,103,21234,746992
E09000018,Hounslow,2002,1558,78,1274,2,2832,80,19874,806746
E09000019,Islington,2002,1347,80,1386,2,2733,83,16738,579897
E09000020,Kensington and Chelsea,2002,1071,61,1339,3,2410,64,17518,474785
E09000021,Kingston upon Thames,2002,1132,53,326,1,1458,54,21546,282216
E09000022,Lambeth,2002,2197,122,1165,2,3362,124,18074,486912
E09000023,Lewisham,2002,1699,98,993,2,2691,100,17387,549623
E09000024,Merton,2002,1449,73,739,2,2189,75,19858,473402
E09000025,Newham,2002,1857,103,1400,2,3257,105,18048,859747
E09000026,Redbridge,2002,2084,97,450,2,2534,98,21504,294450
E09000027,Richmond upon Thames,2002,1883,89,805,2,2688,91,21235,343915
E09000028,Southwark,2002,1678,101,1262,2,2940,102,16678,714463
E09000029,Sutton,2002,1575,75,552,1,2127,76,21073,394525
E09000030,Tower Hamlets,2002,1218,83,1239,2,2456,84,14758,710076
E09000031,Waltham Forest,2002,1703,89,565,1,2267,90,19142,408806
E09000032,Wandsworth,2002,1918,101,1016,2,2935,103,19006,464203
E09000033,Westminster,2002,1272,83,3575,6,4847,89,15357,580896
E09000002,Barking and Dagenham,2003,877,52,347,1,1224,52,16938,538725
E09000003,Barnet,2003,2832,117,981,4,3814,121,24313,232706
E09000004,Bexley,2003,1765,86,1268,1,3033,87,20590,1295777
E09000005,Brent,2003,2011,94,839,2,2850,97,21298,400313
E09000006,Bromley,2003,2849,127,753,2,3602,130,22366,304594
E09000007,Camden,2003,729,42,1131,2,1860,44,17292,536065
E09000001,City of London,2003,876,51,1833,3,2709,54,17175,644326
E09000008,Croydon,2003,2744,128,803,2,3547,131,21407,324153
E09000009,Ealing,2003,2130,104,1080,2,3210,107,20457,434854
E09000010,Enfield,2003,2190,103,835,2,3024,105,21171,426472
E09000011,Greenwich,2003,1449,76,1100,1,2548,77,19148,883577
E09000012,Hackney,2003,1089,64,415,1,1505,66,16906,323914
E09000013,Hammersmith and Fulham,2003,1264,73,945,2,2209,75,17309,554645
E09000014,Haringey,2003,1796,89,634,2,2429,92,20089,284381
E09000015,Harrow,2003,1610,68,936,1,2547,69,23765,709924
E09000016,Havering,2003,1901,90,408,1,2309,92,21015,280213
E09000017,Hillingdon,2003,2200,104,1718,2,3918,106,21114,897110
E09000018,Hounslow,2003,1555,78,1088,2,2644,80,19893,684036
E09000019,Islington,2003,1376,82,1265,2,2640,84,16842,522523
E09000020,Kensington and Chelsea,2003,1158,67,1430,3,2588,70,17199,465927
E09000021,Kingston upon Thames,2003,1238,58,354,1,1592,59,21457,275684
E09000022,Lambeth,2003,2109,117,1142,2,3251,119,18069,478057
E09000023,Lewisham,2003,1685,96,964,2,2649,98,17499,513921
E09000024,Merton,2003,1454,72,658,2,2111,74,20069,410753
E09000025,Newham,2003,1925,106,1130,2,3055,108,18086,631811
E09000026,Redbridge,2003,2023,94,456,2,2479,95,21620,287360
E09000027,Richmond upon Thames,2003,1878,89,836,2,2713,91,21109,347233
E09000028,Southwark,2003,1636,98,1398,2,3035,100,16686,804490
E09000029,Sutton,2003,1580,74,534,1,2114,76,21313,369049
E09000030,Tower Hamlets,2003,1246,84,1648,2,2894,86,14814,914689
E09000031,Waltham Forest,2003,1736,90,537,2,2272,92,19282,345745
E09000032,Wandsworth,2003,1896,100,994,2,2890,102,18982,432558
E09000033,Westminster,2003,1267,83,3925,6,5193,90,15218,629674
E09000002,Barking and Dagenham,2004,1003,63,788,1,1792,64,15855,981924
E09000003,Barnet,2004,2753,120,890,4,3644,124,22952,217411
E09000004,Bexley,2004,1676,86,906,1,2582,87,19401,894491
E09000005,Brent,2004,2051,99,724,2,2775,101,20759,336151
